bfs,Gemeinde,Neubewertung,Ressourcenausgleich,Aktivierungsgrenze
21,Adlikon,1,0,10000
131,Adliswil,0,1,50000
241,Aesch,0,1,30000
1,Aeugst a.A.,0,1,25000
2,Affoltern a.A.,0,0,30000
211,Altikon,0,0,30000
30,Andelfingen,1,0,50000
51,Bachenbülach,1,0,15000
81,Bachs,0,0,30000
111,Bäretswil,0,0,30000
52,Bassersdorf,0,0,50000
297,Bauma,0,0,50000
22,Benken,0,0,15000
23,Berg am Irchel,1,1,20000
242,Birmensdorf,0,1,50000
3,Bonstetten,1,0,20000
82,Boppelsen,1,0,20000
213,Brütten,1,0,10000
112,Bubikon,0,0,20000
24,Buch am Irchel,0,0,20000
83,Buchs,0,0,50000
53,Bülach,1,1,50000
25,Dachsen,0,0,30000
214,Dägerlen,0,0,30000
84,Dällikon,0,0,50000
85,Dänikon,1,1,10000
215,Dättlikon,0,1,20000
86,Dielsdorf,0,0,50000
243,Dietikon,0,0,20000
54,Dietlikon,1,1,50000
216,Dinhard,0,1,40000
26,Dorf,0,0,20000
191,Dübendorf,1,0,50000
113,Dürnten,1,0,50000
192,Egg,0,0,50000
55,Eglisau,0,1,30000
294,Elgg,1,0,25000
218,Ellikon a.d. Thur,0,1,25000
219,Elsau,0,0,50000
56,Embrach,1,0,50000
151,Erlenbach,1,1,50000
193,Fällanden,0,1,50000
172,Fehraltorf,0,0,50000
27,Feuerthalen,0,0,50000
114,Fischenthal,0,0,30000
28,Flaach,0,1,20000
29,Flurlingen,0,0,25000
57,Freienstein-Teufen,0,1,50000
244,Geroldswil,0,1,50000
58,Glattfelden,1,0,50000
115,Gossau,1,0,50000
194,Greifensee,0,1,50000
116,Grüningen,0,0,50000
220,Hagenbuch,0,0,30000
4,Hausen a.A.,0,1,30000
5,Hedingen,1,1,50000
31,Henggart,0,0,30000
152,Herrliberg,0,1,50000
221,Hettlingen,0,1,50000
117,Hinwil,0,0,50000
173,Hittnau,0,1,50000
59,Hochfelden,0,0,50000
153,Hombrechtikon,1,1,40000
295,Horgen,0,1,50000
60,Höri,0,1,30000
32,Humlikon,0,1,10000
61,Hüntwangen,0,0,20000
87,Hüttikon,0,0,25000
296,Illnau-Effretikon,0,0,50000
6,Kappel a.A.,0,0,20000
135,Kilchberg,0,1,50000
33,Kleinandelfingen,1,0,50000
62,Kloten,0,1,50000
7,Knonau,1,0,20000
154,Küsnacht,1,1,50000
136,Langnau a.A.,1,1,50000
34,Laufen-Uhwiesen,0,0,50000
176,Lindau,1,0,50000
63,Lufingen,0,1,10000
155,Männedorf,1,1,50000
35,Marthalen,0,1,30000
8,Maschwanden,0,0,10000
195,Maur,1,1,50000
156,Meilen,1,1,50000
9,Mettmenstetten,0,1,50000
196,Mönchaltorf,0,1,40000
88,Neerach,1,1,30000
223,Neftenbach,0,1,50000
89,Niederglatt,0,1,50000
90,Niederhasli,0,1,50000
91,Niederweningen,0,0,50000
64,Nürensdorf,1,0,50000
65,Oberembrach,1,0,20000
245,Oberengstringen,0,1,50000
92,Oberglatt,1,1,50000
137,Oberrieden,0,1,50000
93,Oberweningen,1,0,20000
10,Obfelden,1,0,25000
246,Oetwil a.d.L.,1,0,50000
157,Oetwil am See,0,1,50000
66,Opfikon,1,1,50000
37,Ossingen,0,1,30000
94,Otelfingen,1,1,25000
11,Ottenbach,0,0,25000
177,Pfäffikon,1,1,50000
224,Pfungen,0,0,30000
67,Rafz,1,0,30000
95,Regensberg,0,1,10000
96,Regensdorf,1,1,50000
38,Rheinau,0,0,20000
138,Richterswil,0,0,50000
225,Rickenbach,0,1,40000
12,Rifferswil,0,1,20000
68,Rorbas,0,1,30000
97,Rümlang,0,0,50000
139,Rüschlikon,0,0,50000
178,Russikon,0,0,10000
118,Rüti,0,0,50000
226,Schlatt,1,0,30000
98,Schleinikon,0,0,30000
247,Schlieren,1,1,50000
99,Schöfflisdorf,1,0,10000
197,Schwerzenbach,0,0,30000
119,Seegräben,0,0,30000
227,Seuzach,0,0,50000
100,Stadel,1,0,30000
158,Stäfa,1,0,50000
13,Stallikon,1,1,25000
292,Stammheim,0,1,30000
101,Steinmaur,0,0,30000
39,Thalheim a.d. Thur,0,0,30000
141,Thalwil,1,1,50000
40,Trüllikon,0,0,50000
41,Truttikon,0,1,25000
228,Turbenthal,1,0,50000
159,Uetikon am See,0,1,50000
248,Uitikon,0,0,50000
249,Unterengstringen,1,0,50000
250,Urdorf,0,1,50000
198,Uster,1,1,50000
43,Volken,0,1,10000
199,Volketswil,0,1,50000
293,Wädenswil,0,1,50000
120,Wald,1,0,50000
69,Wallisellen,0,1,50000
200,Wangen-Brüttisellen,0,0,10000
70,Wasterkingen,0,1,10000
102,Weiach,0,0,20000
251,Weiningen,0,0,50000
180,Weisslingen,0,1,50000
14,Wettswil a.A.,1,1,50000
121,Wetzikon,1,1,50000
298,Wiesendangen,0,0,50000
71,Wil,0,0,30000
181,Wila,1,0,25000
182,Wildberg,1,0,20000
72,Winkel,1,1,50000
230,Winterthur,1,0,50000
231,Zell,0,0,50000
161,Zollikon,1,0,50000
160,Zumikon,0,0,50000
261,Zürich,0,1,50000
